,name_id,term,name,sex,party,partyGroup,areaName,onboardDate,leaveFlag,leaveDate,leaveReason,party_num,party_group_num,birth_date,age,place_of_birth,degree,incumbent,valid_votes,total_votes,electorate,pop,electorate_over_pop_pct,total_votes_over_electorate_pct,elected_over_cands_pct,vote,vote_over_total_votes_pct,vote_margin,vote_over_total_votes_pct_margin,constituency,tier,lnpopudensity,experience,defect_date,defect_period,president,vice_president
108,266,8,陳節如,2,民主進步黨,民主進步黨,全國不分區及僑居國外國民,2012-02-01,否,,,16,16,1944-03-03,68,臺灣省,2,1,,,,,,,,,,,,全國不分區及僑居國外國民,2,,1,,,0,0
109,267,8,陳素月,2,民主進步黨,民主進步黨,彰化縣第4選舉區,2015-02-16,否,,,16,16,1966-01-18,49,臺灣省,5,2,96831,97597,259816,332584,78.12,29.349999999999998,20.0,51907,53.61,17200,17.76,彰化縣4,1,7.304401397705078,0,,,0,0
110,269,8,陳超明,1,中國國民黨,中國國民黨,苗栗縣第1選舉區,2012-02-01,否,,,1,1,1951-12-17,61,臺灣省,3,2,145906,150448,202011,261549,77.24,74.48,25.0,82902,56.81,26723,18.310000000000002,苗栗縣1,1,6.301537990570068,1,,,0,0
111,270,8,陳鎮湘,1,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2012-02-01,否,,,1,1,1942-10-10,70,其他,3,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
112,271,8,陳雪生,1,中國國民黨,中國國民黨,連江縣選舉區,2012-02-01,否,,,1,1,1952-01-01,60,金馬地區,2,2,5057,5156,7772,9977,77.9,66.34,33.33,2528,49.99,167,3.3100000000000023,連江縣,1,6.348964214324951,0,2015-07-08,2,0,0
113,273,8,顏寬恒,1,中國國民黨,中國國民黨,台中市第2選舉區,2013-02-01,否,,,1,1,1977-09-14,35,臺中市,5,2,133059,134500,275086,356694,77.12,37.71,33.33,66457,49.95,1138,0.86,臺中市2,1,7.767738342285156,0,,,0,0
114,274,8,顏清標,1,無黨團結聯盟,0無,台中市第2選舉區,2012-02-01,是,2012-11-28,依101年12月5日台立人字第1011402066號函因案於101年11月28日經最高法院判決褫奪公權確定，並自判決確定之日起，註銷名籍。,106,999,1960-08-25,52,臺中市,2,1,198315,205154,270338,356694,75.79,75.89,50.0,118585,59.79,38855,19.589999999999996,臺中市2,1,7.767738342285156,3,,,0,0
115,276,8,馬文君,2,中國國民黨,中國國民黨,南投縣第1選舉區,2012-02-01,否,,,1,1,1965-12-01,47,臺灣省,5,1,129559,131974,186574,235571,79.2,70.74,33.33,78083,60.26,28133,21.71,南投縣1,1,5.707475662231445,1,,,0,0
116,278,8,高志鵬,1,民主進步黨,民主進步黨,新北市第3選舉區,2012-02-01,否,,,16,16,1963-08-08,49,臺灣省,5,1,194178,197441,254922,314583,81.03,77.45,25.0,95649,49.25,1015,0.5200000000000031,新北市3,1,9.977987289428713,3,,,0,0
117,281,8,高金素梅,2,無黨團結聯盟,立院新聯盟,山地原住民,2012-02-01,否,,,106,999,1965-09-21,47,臺中市,2,1,,,,,,,,,,,,山地原住民,4,,3,,,0,0
118,282,8,魏明谷,1,民主進步黨,民主進步黨,彰化縣第4選舉區,2012-02-01,是,2014-11-25,依台立人字第1030008133號函自103年11月25日辭去立法委員職務。,16,16,1963-03-18,49,臺灣省,5,2,183292,188565,257151,332584,77.32,73.33,50.0,92085,50.23,878,0.46999999999999886,彰化縣4,1,7.304401397705078,2,,,0,0
119,286,8,黃偉哲,1,民主進步黨,民主進步黨,台南市第2選舉區,2012-02-01,否,,,16,16,1963-09-26,49,臺北市,5,1,212095,215984,291977,365226,79.94,73.97,25.0,144399,68.08,81605,38.48,臺南市2,1,6.254962921142578,2,,,0,0
120,289,8,黃國書,1,民主進步黨,民主進步黨,台中市第6選舉區,2015-02-16,否,,,16,16,1964-01-03,51,臺灣省,5,2,78060,78495,255203,325947,78.3,24.08,50.0,45143,57.830000000000005,12226,15.659999999999998,臺中市6,1,9.723369598388672,0,,,0,0
121,290,8,黃志雄,1,中國國民黨,中國國民黨,新北市第5選舉區,2012-02-01,否,,,1,1,1976-10-16,36,新北市,5,1,172151,175365,231558,319922,72.38,75.73,25.0,90856,52.77,12205,7.090000000000003,新北市5,1,9.179351806640623,2,,,0,0
122,291,8,黃文玲,2,台灣團結聯盟,台灣團結聯盟,全國不分區及僑居國外國民,2012-02-01,是,2014-02-01,依103年1月27日台立人字第1031400173號函自103年02月01日辭去立法委員職務。,95,95,1969-08-11,43,臺北市,5,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
